date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-30 23:57:48,retiredNCSHP,,0,2,1,"Rest In Peace: Deputy Timothy De La Fuente. Bexar County Sheriff's Office, Texas. (Covid-19) @BexarCoSheriff @PoliceOne @ODMP #BlueLivesMatter #officerdown",,@BexarCoSheriff @PoliceOne @ODMP,#BlueLivesMatter #officerdown,1256009891363336193,https://twitter.com/retiredNCSHP/status/1256009891363336193
2020-04-30 23:56:17,BURNCOROCK,,0,1,3,"Our BURNCO Texas Division is doing their part to protect its customers and employees to help limit the spread of COVID-19. We assure you that Team BURNCO continues to work hard to supply our quality products and services to the essential construction sector. @burncotexas",,@burncotexas,,1256009510985986053,https://twitter.com/BURNCOROCK/status/1256009510985986053
2020-04-30 23:53:38,BarbieHosford,,0,0,0,"Texas reports most deaths in a day from COVID-19 as Gov. Abbott prepares to drop stay-home order https://www.houstonchronicle.com/politics/texas/article/Texas-reports-most-deaths-in-a-day-from-COVID-19-15238205.php?utm_campaign=CMS%20Sharing%20Tools%20(Mobile)&amp;utm_source=t.co&amp;utm_medium=referral via @houstonchron",,@HoustonChron,,1256008843437510664,https://twitter.com/BarbieHosford/status/1256008843437510664
2020-04-30 23:50:46,Ajzionts,,1,0,4,"Timeline: Feb. 6: Transferred from jail in Pierre to Winner March 20: Transferred from Winner Jail to Texas Prison March 28: BOP says she's taken to hospital for pregnancy concerns. Family, hospital sources + whistleblower complaint says she had COVID-19 symptoms. 6/x",,,,1256008124038885376,https://twitter.com/Ajzionts/status/1256008124038885376
2020-04-30 23:50:26,bybrie,,1,1,5,"Texas is #9 in COVID-19 cases... but 49th in tests per capita. And we’re opening tomorrow. Sorry but im not taking ANY risks.",,,,1256008037539741696,https://twitter.com/bybrie/status/1256008037539741696
2020-04-30 23:48:48,Rick_Ragan,SenTedCruz,1,2,2,"Cruz is crap Here is a Texas Republican senator trying to lift stay-at-home orders that protect people from the pandemic Why does the GOP want people to die from Covid-19? &gt; They value the economy over people? &gt; They hate people who make under $200K a year? &gt; They like chaos?",,,,1256007628339253249,https://twitter.com/Rick_Ragan/status/1256007628339253249
2020-04-30 23:48:22,rmlubash,HammerMartel0,0,0,1,"Nice try! A Few Texas Observer: The FBI recently warned of a rise in hate crimes against Asian Americans by people who blame them for COVID-19.",,,,1256007518209228801,https://twitter.com/rmlubash/status/1256007518209228801
2020-04-30 23:48:14,PeteAlonso2,socksocksocks,0,0,3,"I do it sometimes. Not for COVID 19 but for allergies. Allergies in Texas are a bitch! ",,,,1256007484692717569,https://twitter.com/PeteAlonso2/status/1256007484692717569
2020-04-30 23:47:37,BLMMF,,0,0,0,"Florida & Texas are playing games with Covid deaths to try to protect Trump because he knows he’s gonna get his ass kicked by Biden in Nov! @realDonaldTrump #GOP #MAGA @JoeBiden ",,@realDonaldTrump @JoeBiden,#GOP #MAGA,1256007328786034689,https://twitter.com/BLMMF/status/1256007328786034689
2020-04-30 23:47:27,AdvocacyMD,,2,15,57,"Texas today: 50 COVID deaths 1,033 new cases Texas tomorrow: You can go to the restaurant, the mall, the movie theater. Please #StayHome instead.",,,#StayHome #StayHome,1256007289334620160,https://twitter.com/AdvocacyMD/status/1256007289334620160
2020-04-30 23:47:12,dcsaw,,0,0,0,"Texas reports most deaths in a day from COVID-19 as Gov. Abbott prepares to drop stay-home order - http://HoustonChronicle.com https://www.houstonchronicle.com/politics/texas/article/Texas-reports-most-deaths-in-a-day-from-COVID-19-15238205.php",,,,1256007224310337537,https://twitter.com/dcsaw/status/1256007224310337537
2020-04-30 23:43:23,StevenABC13,,2,18,15,"A lot of changes are coming for Texas businesses tomorrow. Restrictions are being rolled back. But the state continues to rank among the last in the country for coronavirus testing. And today COVID-19 deaths in Texas hit a single-day high day. http://abc13.com/6141186/ #abc13",,,#abc13,1256006262808031233,https://twitter.com/StevenABC13/status/1256006262808031233
2020-04-30 23:42:38,FOXBaltimore,,1,4,1," RIP Texas Deputy De La Fuente was tested for COVID-19 Tuesday. His test results came in last night and medical officials were set to notify him this morning, but he died before they got the chance.",,,,1256006076165763074,https://twitter.com/FOXBaltimore/status/1256006076165763074
2020-04-30 23:41:53,KarinKB,,0,0,0,"#Texas reported 50 more #COVID19 deaths on Thursday, the most in any one day since the state reported its first #COVID__19 deaths in mid-March. Total tests 330,300 Positive 28,087 #coronavirus Deaths 782 https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83",,,#Texas #COVID19 #COVID__19 #coronavirus,1256005888139124736,https://twitter.com/KarinKB/status/1256005888139124736
2020-04-30 23:40:53,nyli,,0,0,0,"Texas reports most deaths in a day from COVID-19 as Gov. Abbott prepares to drop stay-home order https://www.houstonchronicle.com/politics/texas/article/Texas-reports-most-deaths-in-a-day-from-COVID-19-15238205.php?utm_campaign=CMS%20Sharing%20Tools%20(Mobile)&amp;utm_source=t.co&amp;utm_medium=referral via @houstonchron",,@HoustonChron,,1256005633234608128,https://twitter.com/nyli/status/1256005633234608128
