date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-27 23:58:58,evangelatte,,0,4,11,"Texan here I will be staying home regardless of what Greg Abbott says, and you should too. This recklessness will cause COVID cases and deaths to spike in Texas. For your children, your elderly, your healthcare workers, your immunocompromised: STAY HOME. ",,,,1254923024165490691,https://twitter.com/evangelatte/status/1254923024165490691
2020-04-27 23:57:43,8rleann,,1,0,1,"So Texas is opening up May 1 . I work at the mall . Almost 1,000,000 COVID-19 in the U.S. I’m really worried . ",,,,1254922708388909058,https://twitter.com/8rleann/status/1254922708388909058
2020-04-27 23:56:59,VRWCTexan,,3,5,5,".@GregAbbott_TX today you stated Texas Ph 1 - effective 1 May #superceded all ""local"" orders re: COVID-19 restrictions. Within 2hrs @Ron_Nirenberg &amp; @BexarCounty officials were on TV saying you screwed up-They then ordered citizens to keep wearing facemasks whenever in public??",,@GregAbbott_TX @Ron_Nirenberg @BexarCounty,#superceded,1254922523986321408,https://twitter.com/VRWCTexan/status/1254922523986321408
2020-04-27 23:56:32,MBBKDesigns,,0,2,1,"https://www.ebay.com/itm/333552215235 #socialdistancing #socialdistancing2020 #socialdistance #staysafe #stayhome #stayhealthy #stayback #covid19 #covid_19 #covid #coronavirus #corona #coronamemes #california #texas… https://www.instagram.com/p/B_gOgGlF6Xh/?igshid=h4vmiqvxgd5p",,,#socialdistancing #socialdistancing2020 #socialdistance #staysafe #stayhome #stayhome #stayhealthy #stayback #covid19 #covid_19 #covid #coronavirus #corona #coronamemes #california #texas,1254922411704803328,https://twitter.com/MBBKDesigns/status/1254922411704803328
2020-04-27 23:56:26,matty_mckinnis,CDCgov,0,0,1,"The spread of COVID-19 in southern states is a shock to me. Living in NYC, within a smaller area compared to southern states like Texas, I can understand why New York has over 10,000 reported cases. Hopefully soon, there will be fewer reported cases.@WritingCorona #LeaveUSAlone",,@WritingCorona,#LeaveUSAlone,1254922382667587585,https://twitter.com/matty_mckinnis/status/1254922382667587585
2020-04-27 23:56:05,EVSMotors,elonmusk,0,0,0,"@elonmusk come to Texas you won’t have to deal with the nonsense. We are ranked at the upper tier in terms of total populations vs deaths from Covid-19. We are back to work per the governor @GregAbbott_TX . We have a death rate of only .00002% and will continue to improve.",,@elonmusk @GregAbbott_TX,,1254922298085212162,https://twitter.com/EVSMotors/status/1254922298085212162
2020-04-27 23:55:24,ashscheherazade,Queenfreemarket,1,0,0,"You're in Texas. Come to the East Coast for a visit. People are dying and suffering and your leaders are actually trying to protect you for once. Look up a ""cytokine storm"" btw one of the things covid-19 does to your body.",,,,1254922123363192832,https://twitter.com/ashscheherazade/status/1254922123363192832
2020-04-27 23:55:16,LancasterGolde1,,0,0,1,"Stated by the Governor of Texas small groups of 4ea. (athletes) on May 1st can participate in outside activities in Phase 1. If no outbreaks in Covid-19 does not escalate then by the May 18th the start of Phase 2 more sports and the amount of kids (athletes) will be announced.",,,,1254922092295970817,https://twitter.com/LancasterGolde1/status/1254922092295970817
2020-04-27 23:54:11,AliTheFloof,,4,1,6,"Texas stay-at-home order ends at the end of this week. This is not ok. It is still too early. COVID cases are going to spike and many more people will needlessly die in the name of fucking capitalism.",,,,1254921819636842496,https://twitter.com/AliTheFloof/status/1254921819636842496
2020-04-27 23:53:21,Jahfre,EpochTimes,0,0,1,"Hooray for Texas! Maybe the invading dems from California will flee Texas and the state can regain its sanity politically as well as recovering from the COVID-19 hysteria! ",,,,1254921607711281152,https://twitter.com/Jahfre/status/1254921607711281152
2020-04-27 23:52:24,Frank_Booth_326,SandiInTX,0,1,3,"Today’s math lesson: Greg Abbott’s TEXAS + COVID-19 PANDEMIC = ”DEATH” ",,,,1254921370225516544,https://twitter.com/Frank_Booth_326/status/1254921370225516544
2020-04-27 23:52:20,OutFrontCNN,,0,13,21,"""Just today, I announced 74 new cases in the city of Houston and four more deaths as directly related to Covid-19. So the virus has not disappeared."" Houston Mayor Sylvester Turner is telling residents to be ""cautious"" as Texas' stay-at-home order is set to expire on Thursday. ",,,,1254921350831132673,https://twitter.com/OutFrontCNN/status/1254921350831132673
2020-04-27 23:51:37,playingsims3,cnnbrk,0,0,0,"When Texas loses its football season behind this then maybe people will take COVID seriously ",,,,1254921172959014912,https://twitter.com/playingsims3/status/1254921172959014912
2020-04-27 23:51:04,blakejordan_02,,1,1,3,"my entire family is at risk when it comes to covid-19. i have asthma, my stepdad is diabetic, and my mom has an auto-immune disease. but i guess that none of that matters because greg abbott is reopening texas just so that he can have more money",,,,1254921032328261635,https://twitter.com/blakejordan_02/status/1254921032328261635
2020-04-27 23:49:35,manthing11,,0,0,0,"@KrisGutierrez You sound awfully excited about Abbott opening Texas. I’ll check back with you in a few weeks when the Texas Covid death toll ramps up because of this action.",,@KrisGutierrez,,1254920662050918411,https://twitter.com/manthing11/status/1254920662050918411
2020-04-27 23:48:34,BrianBernardLaw,,0,0,0,"Nursing Homes in the Age of COVID-19: A Q&amp;A With Kay Van Wey https://ift.tt/3cS9Bmh Texas LawyerKenneth Artzhttps://images.law.com/contrib/content/uploads/sites/401/2020/04/Kay-Van-Wey-Article-202004031941.jpgHealth Care/Commentary/Q&amp;A/Consumer Protection/Occupational Safety a…",,,,1254920404403175425,https://twitter.com/BrianBernardLaw/status/1254920404403175425
2020-04-27 23:47:52,Vangngaih,,0,0,8,"Manipur woman stitches masks for COVID-19 fighters in Texas, US https://www.eastmojo.com/manipur/2020/04/27/manipur-woman-stitches-masks-for-covid-19-fighters-in-texas-us #manipur #US #Covid19 #Ruati Johnsen",,,#manipur #US #Covid19 #Ruati,1254920228716212225,https://twitter.com/Vangngaih/status/1254920228716212225
2020-04-27 23:46:22,sfsu114,RaheemKassam,0,0,0,"I also love that phrase! It's a good word for what they do in refrigerated trucks when the morgues overflow w Covid-19 corpses, esp. in Texas and Florida as it heats up.",,,,1254919851207884801,https://twitter.com/sfsu114/status/1254919851207884801
2020-04-27 23:44:45,Frank_Booth_326,,0,1,4,"Greg Abbott’s TEXAS + COVID-19 PANDEMIC = ”DEATH” &amp; PESTILENCE. https://twitter.com/SandiInTX/status/1254914754197544961",,,,1254919443089698816,https://twitter.com/Frank_Booth_326/status/1254919443089698816
2020-04-27 23:44:25,irishkurs,TexasTribune,1,0,3,"We voted for a guy who sent the state guard to watch the US military because he believed Russian troll farms over our own IC. Just like trump believed a China over our IC regarding Covid-19. What did you think texas would do? ",,,,1254919361594298368,https://twitter.com/irishkurs/status/1254919361594298368
2020-04-27 23:44:11,ksannews,,0,0,0,"In a press conference at the Texas Capitol on Monday afternoon, Gov. Greg Abbott announced Texas’ next steps for reopening business during the COVID-19 pandemic. ",,,,1254919301825540096,https://twitter.com/ksannews/status/1254919301825540096
2020-04-27 23:42:21,BernardLawFirm,,0,0,0,"Nursing Homes in the Age of COVID-19: A Q&amp;A With Kay Van Wey Texas LawyerKenneth Artzhttps://images.law.com/contrib/content/uploads/sites/401/2020/04/Kay-Van-Wey-Article-202004031941.jpgHealth Care/Commentary/Q&amp;A/Consumer Protection/Occupational Safety a… ",,,,1254918840636538882,https://twitter.com/BernardLawFirm/status/1254918840636538882
2020-04-27 23:41:47,yoncrowstack,MeanEric,1,0,1,"Yeah, it's in the email Myka sent out, ballpark is July 1st. We're doing alright, bud. Amanda's grandmother in Texas just got tested for COVID, it got into her retirement home, so that's worrisome, but she seems okay for now.",,,,1254918697040240640,https://twitter.com/yoncrowstack/status/1254918697040240640
2020-04-27 23:40:11,revraycollins,,1,0,1,"Prayer at one of the Covid 19 testing sites in Houston Texas made available by our Congress Woman Sheila Jackson Lee. @JacksonLeeTX18",,@JacksonLeeTX18,,1254918293816774662,https://twitter.com/revraycollins/status/1254918293816774662
2020-04-27 23:39:35,Meding001,MSNBC,0,0,0,"Covid 19 death per million residents by states: ( D: Dems Gov. R: Rep) New York ( D) 1153 New Jersey ( D) 680 Connecticut ( D) 537 Massachusetts ( R) 440 Louisiana ( D) 373 Michigan ( D) 320 Illinois ( D) 155 Georgia ( R ) 91 Florida ( R) 53 California ( D) 44 Texas ( R) 24",,,,1254918145816526855,https://twitter.com/Meding001/status/1254918145816526855
2020-04-27 23:38:53,debby41553217,middletowndream,2,1,12,"I have Covid 19 I live in Texas it took a week to get tested so I hope you weren’t at the same grocery store ??? I ran 103 fever for a week then 101 for another ! I was a essential worker so testing would have prevented me from spreading it dumbass !!!",,,,1254917966635970560,https://twitter.com/debby41553217/status/1254917966635970560
2020-04-27 23:38:46,TheRealNumber6,JulianCastro,0,0,0,"The ""Iron Triangle"" that puts bidness interests first in Texas priorities probably led to avoidable Covid-19 deaths before the delayed order and will again when it's lifted. @govabbott is nothing more than a grinning, moronic, cheerleading ghoul doing industry's bidding.",,@GovAbbott,,1254917940714987520,https://twitter.com/TheRealNumber6/status/1254917940714987520
2020-04-27 23:38:01,rudcax18,caroljd,1,0,5,"everybody wants to work, this isn’t a matter of who is lazy or not. people want safety and what greg abbot did today was not considerate. Texas lacks in testing for COVID-19 and if we don’t know who has it and they step out to go to the store and they infect 10 people wearefucked",,,,1254917748242743303,https://twitter.com/rudcax18/status/1254917748242743303
2020-04-27 23:35:56,PMCinTN,matthewjdowd,0,0,1,"TX ranks 49th in testing per cap. And US deaths, without Covid included, are up 53% over normal. This likely means an awful lot of Covid deaths are being undercounted. We literally do not know where we stand in Texas or elsewhere because of it.",,,,1254917226370609155,https://twitter.com/PMCinTN/status/1254917226370609155
2020-04-27 23:35:25,Eric_Hanke,,3,0,2,"I can hardly wait to see who Governor Abbott tries to blame when Texas is hit with a spike of COVID-19 cases. He'll attempt to cover it up first. Then, do like Trump, and try to blame it on everybody else.",,,,1254917096057823232,https://twitter.com/Eric_Hanke/status/1254917096057823232
2020-04-27 23:34:49,captain_pg,,0,0,0,"I have never voted Democrat but the way the Republicans, both in DC and Texas, have handled Covid-19, they have changed my mind. Good job, Trump, Abbott &amp; crew, ya done fucked up real good.",,,,1254916945041899520,https://twitter.com/captain_pg/status/1254916945041899520
2020-04-27 23:32:49,LoriSums,12NewsNow,0,1,0,"Texas has least ICU beds available but ok let’s see what happens. Our numbers are low because rural areas don’t have enough testing and rural hospitals can’t confirm deaths even if COVID patients come in but let’s see what happens",,,,1254916443176669185,https://twitter.com/LoriSums/status/1254916443176669185
2020-04-27 23:31:53,cjane53,,0,0,0,"Question? Why is there is big talk about Covid-19 testing? IF it takes 7-10 days to get results.....YOU ARE DEAD! Sister was tested last Wednesday in Houston Texas and still no results. it’s bullshit",,,,1254916204789207047,https://twitter.com/cjane53/status/1254916204789207047
2020-04-27 23:30:02,CBS7News,,0,0,0,"Texas man shares story of surviving COVID-19 after losing his father to it https://www.cbs7.com/content/news/Texas-man-shares-story-of-surviving-COVID-19-after-losing-his-father-to-it-569979431.html",,,,1254915740861333504,https://twitter.com/CBS7News/status/1254915740861333504
2020-04-27 23:29:56,oscura56,,0,0,0,"Texas COVID-19 cases rise to more than 25,000, area to more than 440 ",,,,1254915715339104257,https://twitter.com/oscura56/status/1254915715339104257
2020-04-27 23:28:54,KhoroShogun,,0,0,0,"I’m not going to knock @GregAbbott_TX for “reopening” Texas. So long as everyone keeps their distance and WASHES THEIR HANDS I think we’ll be fine. Texas has almost 10% of the total population of the ENTIRE United States but we only account for 2.5% of total Covid-19 cases.",,@GregAbbott_TX,,1254915455359299584,https://twitter.com/KhoroShogun/status/1254915455359299584
2020-04-27 23:27:15,dritchiehoward,,0,0,0,"More Than 800 Inmates, Nearly 300 Staffers Positive for COVID-19 in Texas Prisons: TDCJ ",,,,1254915042560147457,https://twitter.com/dritchiehoward/status/1254915042560147457
2020-04-27 23:26:51,krissyvogel,abc13houston,0,0,1,"It's interesting to me is that they are more-or-less using the scientific method. The hypothesis is that #Texas can safely reopen at 25% occupancy, then 50% and so on. Unfortunately, many of the subjects won't necessarily want to be exposed to the dangers of COVID-19 (workers). ",,,#Texas,1254914940831490048,https://twitter.com/krissyvogel/status/1254914940831490048
2020-04-27 23:26:28,ritardondorino,,0,0,3,"Texas is gonna host Covid-19 wave 2 electric boogaloo",,,,1254914842701553667,https://twitter.com/ritardondorino/status/1254914842701553667
2020-04-27 23:26:23,UNICAESRADIO,,1,0,0,"MIRAR EN VIVO: El gobernador Abbott anuncia la próxima fase del plan para reabrir partes de la economía de Texas en medio de la pandemia de COVID-19 ver http://Facebook.com/Unicaesradiosv",,,,1254914823361630216,https://twitter.com/UNICAESRADIO/status/1254914823361630216
2020-04-27 23:22:32,EricaCDavis,,12,4,81,"Blessed-To get approved today for my Master’s in Public Affairs!!! COVID-19 has brought many challenges across the nation, but the University of Texas at Austin Executive Masters in Public Leadership has emphasized that “when its time to lead... lead”.May 23! COVID-19Graduation ",,,,1254913853596581889,https://twitter.com/EricaCDavis/status/1254913853596581889
2020-04-27 23:22:12,UNICAESRADIO,,1,0,0,"EN VIVO: Conferencia de prensa del Gobernador de Texas Greg Abbott sobre el covid-19 en la región ",,,,1254913768158629889,https://twitter.com/UNICAESRADIO/status/1254913768158629889
2020-04-27 23:21:56,Meding001,MSNBC,1,0,0,"Covid 19 death per million residents by states: ( D: Dems Gov. R: Rep) New York ( D)1153 New Jersey ( D)680 Connecticut ( D) 537 Massachusetts ( R) 440 Louisiana ( D) 373 Michigan ( D) 320 Illinois ( D) 155 Georgia ( R )91 Florida ( R) 53 California ( D) 44 Texas ( R) 24",,,,1254913701620187146,https://twitter.com/Meding001/status/1254913701620187146
2020-04-27 23:20:27,leahsmama,RElaineGarner1,0,0,2,"It's only gonna go down right? Like there is NO WAY covid would mess with Texas right?! ",,,,1254913330856288256,https://twitter.com/leahsmama/status/1254913330856288256
2020-04-27 23:17:18,dalythot,GregAbbott_TX,0,0,1,"What?? Only a man would think opening a movie theater before salon makes sense. There are more people in close quarters in a theater than a salon. This needs to be adjusted ASAP #texas #covid",,,#texas #covid,1254912538279464960,https://twitter.com/dalythot/status/1254912538279464960
