date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-06 23:58:22,pixiedust44444,,1,0,0,"This is weird. Texas reporting more covid cases but fewer deaths! That's good by that stat but I'mma dive deeper. It could mean... - covid deaths not being recorded as well as cases - better testing leads to more preventative measures to curb deaths - younger people getting...",,,,1269418385806254080,https://twitter.com/pixiedust44444/status/1269418385806254080
2020-06-06 23:54:20,cap_c0di,GregAbbott_TX,0,0,1,"friendly reminder that abbott is living out a nascar fantasy while covid is still raging and there are protests across texas. there was literally a protest at the capitol building in austin this afternoon. ",,,,1269417370096996352,https://twitter.com/cap_c0di/status/1269417370096996352
2020-06-06 23:53:24,deehellcat,SteveSchmidtSES,0,0,0,"@maddow said last night that several of them were from a prison in Texas where a number of staff tested Covid-positive too. Are we getting germ warfare in the bargain here? 0_o",,@maddow,,1269417134091907072,https://twitter.com/deehellcat/status/1269417134091907072
2020-06-06 23:49:03,mommadragon4,GregAbbott_TX,21,3,46,"Have you heard how poorly Texas is doing with COVID cases? One of the worst in the country...",,,,1269416040016031744,https://twitter.com/mommadragon4/status/1269416040016031744
2020-06-06 23:42:19,kdraks,GOPLeader,0,0,0,"Meanwhile Texas has a huge increase in COVID cases after opening up. ",,,,1269414345311567872,https://twitter.com/kdraks/status/1269414345311567872
2020-06-06 23:40:22,emmanuel_george,greg_price11,0,0,1,"Alcalde demócrata de Mineapolis, Minesota, una vergüenza. Averigüe como les va a Florida, Georgia y a Texas tanto en la Covid-19 o las protestas. Diferencia de líderes y bases ideológicas de los Partidos politicos en USA. ",,,,1269413856373354496,https://twitter.com/emmanuel_george/status/1269413856373354496
2020-06-06 23:37:40,JEBarber39,,0,0,0,"Texas Covid-19 Numbers. ",,,,1269413176564748290,https://twitter.com/JEBarber39/status/1269413176564748290
2020-06-06 23:36:53,Margie1820,Margie1820,2,0,0,"3 We are open in Texas. There are cases but we have no one can go to rehab or nursing home without 2 neg covid tests. Also #Hydroxychloroquine combo was given out pretty freely in Texas. NY &amp; NJ literally caused multiple deaths.",,,#Hydroxychloroquine,1269412978547400705,https://twitter.com/Margie1820/status/1269412978547400705
2020-06-06 23:36:25,JanClaffey,SteveSchmidtSES,0,0,0,"Reports are they are correctional officers from Texas and no doubt other states. Covid spread.",,,,1269412861786427396,https://twitter.com/JanClaffey/status/1269412861786427396
2020-06-06 23:35:58,Texanna33,,0,0,0,"Texas anti-vaxxers say COVID-19 contact tracing is government surveillance - http://ExpressNews.com WHAT A BUNCH OF DOPES!",,,,1269412746719789057,https://twitter.com/Texanna33/status/1269412746719789057
2020-06-06 23:33:31,o0okeyumo0o,DanKaszeta,1,0,0,"They mixed and matched prison guards from Texas prisons that have reported a percentage of the guards have tested positive for covid 19 ... I suggest protesters try to avoid them",,,,1269412130811531265,https://twitter.com/o0okeyumo0o/status/1269412130811531265
2020-06-06 23:31:00,_shellyrae,ABC,2,0,6,"Texas opened in early May... Covid’s incubation is around 12-14 days... but the RECENT protests is why covid cases are going up? OH OKAY THAT MAKES TOTAL SENSE ",,,,1269411500080365569,https://twitter.com/_shellyrae/status/1269411500080365569
2020-06-06 23:25:27,ClaireCatonPR,,0,0,1,"@NBCNews flew from NYC to South Texas College of Law Houston to interview Eric Kwartler, one of the law school's Clinics attorneys, on his/his students’ extraordinary efforts to help Houstonians challenge wrongful evictions during the COVID-19 crisis. #co…",,@NBCNews,#co,1269410102764806145,https://twitter.com/ClaireCatonPR/status/1269410102764806145
2020-06-06 23:25:00,TexasObserver,,0,10,5,"Data from Texas Health and Human Services shows that for COVID-19 patients, Dallas County has nearly twice the death rate as Harris County. From @DMagazine:",,@DMagazine,,1269409987715108870,https://twitter.com/TexasObserver/status/1269409987715108870
2020-06-06 23:21:15,steelworker1956,,1,0,1,"#64 Georgie's governor said the number of COVID-19 cases is down after NYC &amp; NY mooched millions of dollars from the taxpayers of Texas. Since that is true it would also be true that the ambulance is likely carrying a heart attack, stroke or car accident victim. Glad you agree ",,,,1269409046211301376,https://twitter.com/steelworker1956/status/1269409046211301376
2020-06-06 23:18:42,say_M_O_Lee,bdaviskc,0,0,1,"These are the prison guards, right? Apparently a bunch came from Texas. Texas prisons. Where COVID-19 is rampant.",,,,1269408405384503303,https://twitter.com/say_M_O_Lee/status/1269408405384503303
2020-06-06 23:18:06,maggie_glynn1,,0,0,1,".@mjhegar and @RoyceWestTX agree opening the Texas economy is a good thing, but are concerned about the ramifications this could have down the road. They both call for more COVID-19 testing across the state.",,@mjhegar @RoyceWestTX,,1269408254393802752,https://twitter.com/maggie_glynn1/status/1269408254393802752
2020-06-06 23:17:51,Resister_Sis,,0,2,1,"Texas sees record uptick in COVID-19 cases as protests continue - ABC News ",,,,1269408191143718916,https://twitter.com/Resister_Sis/status/1269408191143718916
