date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-22 23:59:29,warriormomMN,Mary_Plastic,0,0,0,"@GovAbbott #covidtexas #TexasCOVID",,@GovAbbott,#covidtexas #TexasCOVID,1275216871881609216,https://twitter.com/warriormomMN/status/1275216871881609216
2020-06-22 23:59:03,Best4CommonGood,,0,0,0,"This woman is sick as hell and belong there. tells folks NOT to wear masks: Texas County GOP Chair Claims COVID-19 Is Democratic Hoax - https://go.shr.lc/2LWdlI9 via @Shareaholic",,@Shareaholic,,1275216763001532416,https://twitter.com/Best4CommonGood/status/1275216763001532416
2020-06-22 23:58:47,Endora_,EricTrump,1,4,1,"Today is June 22nd and #Trump hasn’t had a corona cirus update in 2 months. He has stopped testing press, some staff each day @WhiteHouse.Florida is an epicenter of Covid illness and death, with Texas, Arizona right behind.All with diminishing ICU beds. ",,@WhiteHouse,#Trump,1275216697587380229,https://twitter.com/Endora_/status/1275216697587380229
2020-06-22 23:58:28,leentje63033820,DanRather,0,1,11,"Abbott is a total failure for Texas, refuses to mandate mask wearing hence more spreading of covid and more deaths. All about $$$$$and pleasing his almighty leader. Absolutely pathetic, thank goodness we have our mayors. Abbott is useless in saving Texans lives.",,,,1275216616607924224,https://twitter.com/leentje63033820/status/1275216616607924224
2020-06-22 23:58:20,carlquintanilla,MariaHalkias,31,58,202,"“To state the obvious, COVID-19 is now spreading at an unacceptable rate in Texas and it must be corralled.” ",,,,1275216583070224384,https://twitter.com/carlquintanilla/status/1275216583070224384
2020-06-22 23:58:17,MrsTNorris,,0,0,1,"Covid is still spreading and rising in Texas and kids aren’t even in school yet taking germs back and forth...I can’t imagine what fall will look like..",,,,1275216571321872385,https://twitter.com/MrsTNorris/status/1275216571321872385
2020-06-22 23:58:17,natayiosan,,3,4,21,"Scientists: Opening the country too soon will enable a rise in Covid-19 cases. Governor Abbott: AND? I’m still opening Texas—Labor Day Weekend is coming &amp; I need to make Trump proud. *Covid-19 cases rise in Texas in alarming rate.* Governor Abbott: Why is this happening?! Us: ",,,,1275216569539461124,https://twitter.com/natayiosan/status/1275216569539461124
2020-06-22 23:57:53,omegajma,,0,0,0,"@GregAbbott_TX define culpable... #CovidTexas",,@GregAbbott_TX,#CovidTexas,1275216471271116800,https://twitter.com/omegajma/status/1275216471271116800
2020-06-22 23:57:25,urbanmode,tplohetski,0,0,0,"So now that COVID-19 is out of control in Texas the Governor thinks masks should be worn ",,,,1275216352979156993,https://twitter.com/urbanmode/status/1275216352979156993
2020-06-22 23:57:07,OraliaLoza,,0,0,0,"El Paso represented in LGBTQ+ Health and COVID-19 Survey in Texas #LGBTHealth #LGBT #LGBTQHealth #LGBTQ #UTEP https://bit.ly/2V8s1ZQ",,,#LGBTHealth #LGBT #LGBTQHealth #LGBTQ #UTEP,1275216279062958081,https://twitter.com/OraliaLoza/status/1275216279062958081
2020-06-22 23:57:02,BrentDelozier,,0,0,0,"@marthamaccallum So as you try and call out the Texas Governer Abbott, my nephew is a front line nurse at Parkland hospital, the busiest hospital in DFW and maybe the state of Texas, informs me every day that they are in no way being overrun by an increase of COVID cases. FYI",,@marthamaccallum,,1275216255616720897,https://twitter.com/BrentDelozier/status/1275216255616720897
2020-06-22 23:56:08,415holgate,,3,3,4,"Texas to remain ‘wide open for business’ despite dramatic Covid-19 rise ",,,,1275216031183564801,https://twitter.com/415holgate/status/1275216031183564801
2020-06-22 23:56:07,ThrowedNoe,,0,0,0,"#covidtexas ",,,#covidtexas,1275216025206874112,https://twitter.com/ThrowedNoe/status/1275216025206874112
2020-06-22 23:56:05,LadyBeryl,GovAbbott,0,2,9,"Every single death due to COVID-19 in Texas is on you and everyone who supports you.",,,,1275216018093355008,https://twitter.com/LadyBeryl/status/1275216018093355008
2020-06-22 23:56:02,dorth55,CharlesPPierce,0,0,0,"Should be worried about COVID-19 explode-rating in the state of Texas but he is just another GOP fraud!",,,,1275216005812441089,https://twitter.com/dorth55/status/1275216005812441089
2020-06-22 23:55:58,TxBuckeyeBabe,,0,0,0,"Howdy @GregAbbott_TX as I'm sure you know, there were 3,280 new COVID cases reported in Texas today. And guess what?!? It's a MONDAY when case counts are usually low. You said cases were doubling. Nope. Today's count is almost 3xs what it was last Monday. Thanks.",,@GregAbbott_TX,,1275215985730035712,https://twitter.com/TxBuckeyeBabe/status/1275215985730035712
2020-06-22 23:55:56,MariaHalkias,,8,8,20,"With record Texas COVID-19 hospitalizations, Gov. Greg Abbott warns of more restrictions if cases rise ",,,,1275215979769888768,https://twitter.com/MariaHalkias/status/1275215979769888768
2020-06-22 23:55:56,InTheNoosphere,,2,2,3,"Gregg is a dull pencil with no sharpener in sight ,... Gov. Abbott: COVID-19 is spreading at an 'unacceptable rate' in Texas ",,,,1275215977823625216,https://twitter.com/InTheNoosphere/status/1275215977823625216
2020-06-22 23:55:35,NattyBumpo74,,0,0,0,"@GovAbbott It’s like this. You are a weak, pathetic excuse for a governor and a Texan. Your refusal to order things to close down while covid-19 is washing over #Texas is going to cost lives. Grow a pair and do the right thing for one damn time. #TexasDeservesBetter",,@GovAbbott,#Texas #TexasDeservesBetter,1275215890078937098,https://twitter.com/NattyBumpo74/status/1275215890078937098
2020-06-22 23:53:32,Paul78729,,0,0,0,"Martha, in Texas the 25% is of covid hospitalized not total hospitalized.",,,,1275215375181983744,https://twitter.com/Paul78729/status/1275215375181983744
2020-06-22 23:53:03,NikkiMcR,,2,16,34,"Texas Governor Greg Abbott admits he did not look at Texas's COVID hospitalization data and Martha just lets it slide. ",,,,1275215252309884930,https://twitter.com/NikkiMcR/status/1275215252309884930
2020-06-22 23:52:31,how_unpIeasant,,1,0,0,"Alex is in Texas but going back home because of COVID-19 shit and I’m over here crying on my phone hoping he’s okay",,,,1275215119790686208,https://twitter.com/how_unpIeasant/status/1275215119790686208
2020-06-22 23:52:26,donnehaigh,thomaskaine5,1,0,0,"Your ICU and COVID beds in Texas are FULL. What do you need to see before $$becomes less important than a human lives?",,,,1275215100132102144,https://twitter.com/donnehaigh/status/1275215100132102144
2020-06-22 23:52:25,Numbercruncher3,Merry_Hippie,4,0,1,"Fair enough you define an outbreak. I don’t use deaths lightly but in the Context of macro understanding 30-50k people die of the flu every year and we know the median age of a covid death is 80 and 90% have Co morbidity factors. NY has 30k deaths Texas less than 3k. 1/",,,,1275215094440497154,https://twitter.com/Numbercruncher3/status/1275215094440497154
2020-06-22 23:51:20,Melislost,,1,0,3,"I'd say 90% of the people here at @LAFitness are not wearing masks or social distancing. Mind you they have a sign outside saying masks are mandatory and I live in Dallas county I can see why we have record number of COVID cases here in Texas",,@LAFitness,,1275214821466738688,https://twitter.com/Melislost/status/1275214821466738688
2020-06-22 23:50:28,KrsnaCarlos,CookseyReba,0,0,0,"Covid 19 only makes 10 percent of the hospitalizations in any given Texas county. DONT SPREAD LIES!",,,,1275214605007101954,https://twitter.com/KrsnaCarlos/status/1275214605007101954
2020-06-22 23:50:10,paulfsimpson,,0,0,0,"@AlexBerenson Hospital and ICU bed supply has remained ample &amp; fairly steady in Texas despite hospitalization spike--COVID testing now required for anyone going to hospital for any procedure. Long lag for demographic reporting means age of recent cases is not reported: https://twitter.com/AlexBerenson/status/1275201675721084937",,@AlexBerenson,,1275214528897318915,https://twitter.com/paulfsimpson/status/1275214528897318915
2020-06-22 23:50:05,rhodesrs,,0,0,1,"The GOP governor of Texas is pushing for more mask wearing as COVID is spreading at a high rate. Just data point 1,067 that it isn’t just political overreach and a power grab.",,,,1275214506516451329,https://twitter.com/rhodesrs/status/1275214506516451329
2020-06-22 23:47:43,TexomasHomepage,,0,0,2,"Governor Greg Abbott joined the KFDX newsroom live via satellite Monday night to discuss the increase of COVID-19 cases across Texas and the state's response. ",,,,1275213911684456457,https://twitter.com/TexomasHomepage/status/1275213911684456457
2020-06-22 23:47:28,PISDPTACouncil,,0,2,2,"Please take a few minutes to complete Texas PTA's survey by June 26th to help prepare for our upcoming work during the 87th legislative session. The survey includes sections on COVID-19's impact on the school year, student health, and youth justice. https://www.surveymonkey.com/r/S88MZLC",,,,1275213849592037378,https://twitter.com/PISDPTACouncil/status/1275213849592037378
2020-06-22 23:47:20,Ewing619,LilDivaz1,0,0,0,"""The governor noted that if cases “doubled” by the middle of July, he would consider “tougher actions” to stop the spread of COVID-19"" Will he keep to that, or will he come to his senses. Oh whom am I to think abbot has any sense let alone come to his senses. Sorry Texas.",,,,1275213814460321792,https://twitter.com/Ewing619/status/1275213814460321792
2020-06-22 23:46:02,EastTexasReview,,0,0,0,"Texas Medical Association: Governor is Right; Act Now to Stop COVID-19 Spread http://dlvr.it/RZ8wXB",,,,1275213489615671296,https://twitter.com/EastTexasReview/status/1275213489615671296
2020-06-22 23:45:33,octrojans95,dbendinelli7,1,0,0,"Across the country cases are up. No big deal when 99.9% of people will recover. And... Texas is 13 spots ahead of California in terms of how they're handling Covid: Deaths per 1M Pop. All this while deaths are steadily declining around the country... ",,,,1275213367280431104,https://twitter.com/octrojans95/status/1275213367280431104
2020-06-22 23:45:33,onoma071112,PressHerald,0,0,3,"No. Absolutely not. Do that and we're going to end up with folks from high COVID states like Florida and Texas. Then we're all scewed.",,,,1275213366588592129,https://twitter.com/onoma071112/status/1275213366588592129
2020-06-22 23:45:10,DaLongTallTexan,JulianCastro,0,0,0,"Texas Gov. Abbott's a criminal liar! He w/Texas Republican's are manipulating Covid-19 death data reporting, lowest testing of 45 States! 4400 New Cases Per-Day! NO way to isolate our sick from healthy! Repub's are criminal restricting Texas voting too! Just Lies + Nasty Crimes! ",,,,1275213270899666944,https://twitter.com/DaLongTallTexan/status/1275213270899666944
2020-06-22 23:45:03,BlueTX2020,JeffGraham2020,1,1,5,"We would love to know @GovAbbott! You said earlier if it's still doubling in a month you'll have to do something. Well we've doubled in less than 2 weeks in June so Send help. COVID-19 is surging in Texas and the people in charge are #COVIDIOTS.",,@GovAbbott,#COVIDIOTS,1275213239123677190,https://twitter.com/BlueTX2020/status/1275213239123677190
2020-06-22 23:44:58,DaLongTallTexan,JulianCastro,0,0,1,"Texas Gov. Abbott's a criminal liar! He w/Texas Republican's are manipulating Covid-19 death data reporting, lowest testing of 45 States! 4400 New Cases Per-Day! NO way to isolate our sick from healthy! Repub's are criminal restricting Texas voting too! Just Lies + Nasty Crimes!",,,,1275213219557228544,https://twitter.com/DaLongTallTexan/status/1275213219557228544
2020-06-22 23:44:52,txsnightsky,SassyChick1979,2,0,5,"I just had a friend in Texas, son couldn't breath went in .. covid pos. He and his wife waiting their results.. not sure age of son, guessing young adult.",,,,1275213196001976321,https://twitter.com/txsnightsky/status/1275213196001976321
2020-06-22 23:44:42,GayspeakNews,,0,0,0,"Texas to remain ‘wide open for business’ despite dramatic Covid-19 rise ",,,,1275213152716754954,https://twitter.com/GayspeakNews/status/1275213152716754954
2020-06-22 23:44:33,Titus_VIII,Mary_Plastic,0,0,0,"Hey @GovAbbott if you cut down on the tests like your idiot boss #Trump told you maybe that will stop people getting sick and dying. But don’t let anybody wear masks. #Texas #Covid_19",,@GovAbbott,#Trump #Texas #Covid_19,1275213115005820928,https://twitter.com/Titus_VIII/status/1275213115005820928
2020-06-22 23:44:04,ListinDiario,,1,5,8,"#MundialesLD | Florida rebasó este lunes la barrera psicológica de los 100,000 casos de COVID-19, en medio de un repunte en varios estados de EE.UU., como Arizona y Texas. #ListínDiario",,,#MundialesLD #List,1275212992657981442,https://twitter.com/ListinDiario/status/1275212992657981442
2020-06-22 23:43:28,msrecruiter07,,0,0,0,"Texas State COVID-19 FAQs ",,,,1275212840698212353,https://twitter.com/msrecruiter07/status/1275212840698212353
2020-06-22 23:43:22,Bozo_Texino,,1,0,1,"http://KXAN.com: 4th Austin bar’s license suspended over COVID-19 rule violations, 17 suspensions in Texas. https://www.kxan.com/news/coronavirus/4th-austin-bars-license-suspended-over-covid-19-rule-violations/ via @GoogleNews",,@googlenews,,1275212816316870658,https://twitter.com/Bozo_Texino/status/1275212816316870658
2020-06-22 23:43:05,CSoconway,CookseyReba,0,0,0,"Yes, tantrum throwing liberals are morons...protests led to riots led Anarchy. None social distanced. NONE stayed in their houses. They have covid now. Not just in Texas. You enjoy all the lies the liberal medial bureaucrats in DC told us? You enjoy their backtracking numbers?",,,,1275212743747002370,https://twitter.com/CSoconway/status/1275212743747002370
2020-06-22 23:43:03,Caseyloper1,,0,0,0,"@GovAbbott you ignorant amoral antiquated loser. You are responsible for every single case of covid-19 in Texas. Your antiscience bible thumping bigotry is making Texans ill. Resign.",,@GovAbbott,,1275212738923552776,https://twitter.com/Caseyloper1/status/1275212738923552776
2020-06-22 23:42:54,LauraAnnTull,hemantmehta,0,0,0,"Texas is the state that created Juneteeth. It was a slave state. It wanted to be its own country. It wants to teach the Bible and take women's rights away. The fact their Covid #s are climbing is no surprise.",,,#s,1275212697580138497,https://twitter.com/LauraAnnTull/status/1275212697580138497
2020-06-22 23:42:45,TDayShark,,1,0,9,"Excerpted from NYT: re: COVID “I think this is more like a forest fire,” one infectious disease expert said. “I think that wherever there’s wood to burn, this fire is going to burn it.” By that measure, states like Texas, Florida and South Carolina are dealing with infernos. ",,,,1275212660171313152,https://twitter.com/TDayShark/status/1275212660171313152
2020-06-22 23:42:25,Jessplus4,realDonaldTrump,0,0,0,"We don’t care about rallies - what are you doing about the COVID crisis in Texas, Florida and Arizona. Voted for you in 2016. So disappointed.",,,,1275212577656778754,https://twitter.com/Jessplus4/status/1275212577656778754
2020-06-22 23:42:16,_tsukihiime,,2,19,94,"Greg Abbott: *reopens Texas early* *Texas spikes in COVID-19 cases and deaths* Greg Abbott: don't worry we have enough hospital beds! Texas: ",,,,1275212539580895232,https://twitter.com/_tsukihiime/status/1275212539580895232
2020-06-22 23:41:32,JebKingofMemes,tplohetski,0,0,0,"That’s because Texas is run by BIGOTS and RACISTS! There are 0 COVID cases in the CHOP!",,,,1275212353668354053,https://twitter.com/JebKingofMemes/status/1275212353668354053
2020-06-22 23:41:08,dlstump,DanRather,0,0,0,"@GovSisolak You need to stop all flights coming in from states that are exploding with new Covid cases. Florida, Texas and the others. We don't need more cases in Nevada ",,@GovSisolak,,1275212256662261760,https://twitter.com/dlstump/status/1275212256662261760
2020-06-22 23:41:08,EastTexasReview,,0,0,0,"Texas Medical Association: Governor is Right; Act Now to Stop COVID-19 Spread ",,,,1275212254342938625,https://twitter.com/EastTexasReview/status/1275212254342938625
